iw,3.6,2,12,1
iw,3.14,1,5,1
zip,3.0,2,24,24
bftpd,4.4,1,4,3
bftpd,3.6,1,1,3
bftpd,4.3,1,8,3
openvpn,2.3.10,2,2,17
sysstat,10.1.1,5,55,4
sysstat,10.1.7,3,18,4
sysstat,11.0.4,1,1,4
sysstat,9.0.6,2,4,4
sysstat,9.0.5,1,1,4
sysstat,9.0.4,1,2,4
sysstat,10.1.6,2,18,4
sysstat,9.0.3,1,3,4
sysstat,11.6.2,1,2,4
sysstat,8.0.1,1,26,4
sysstat,11.5.3,1,6,4
sysstat,11.6.1,1,1,4
transmission,2.76,1,2,8
transmission,2.84,1,30,8
transmission,2.82,1,22,8
transmission,2.83,2,28,8
transmission,2.73,1,1,9
transmission,2.71,1,1,9
bc,1.06,1,3,5
bc,1.06.95,1,3,5
mailsend,1.16,1,1,1
mailsend,1.17,2,4,1
mailsend,1.15,1,10,1
u-boot,2012.10,1,3,32
u-boot,1.0.0,1,1,31
socat,1.7.1.2,1,3,5
socat,1.7.2.0,1,1,5
arp,1.88,3,23,4
arp,1.85,1,3,4
logrotate,3.8.1,2,2,1
logrotate,3.10.0,2,9,1
mtd re-flash tool,1.0,1,1,50
mini_httpd,1.19,2,17,4
mini_httpd,1.24,1,3,2
proftpd,1.3.3,1,5,19
proftpd,1.3.6,1,1,9
proftpd,1.3.4,2,42,13
libfuse,2.7.4,1,3,1
libfuse,2.8.5,1,2,1
libfuse,2.7.3,1,25,1
watchdog,5.6,2,7,1
totd,1.5.2,1,3,1
jq,1.5,3,41,2
haserl,0.9.35,1,1,1
haserl,0.9.27,1,5,1
miniupnp,2.0,1,1,5
hiawatha,10.8.1,1,1,1
rsyslog,8.18.0,1,3,6
rsyslog,8.2010.0,1,3,1
jpegtoavi,1.5,1,9,1
nfs-utils,1.2.3,1,4,5
nfs-utils,1.1.5,1,67,5
thttpd,2.25,1,4,6
nginx,1.2.2,1,5,21
nginx,1.5.11,1,29,18
nginx,1.4.7,1,3,20
nginx,1.8.0,1,6,17
nginx,1.8.1,1,10,17
nginx,0.3.7,1,7,33
tor,0.2.4.20,1,92,31
tor,0.2.3.25,1,3,31
mdadm,2.6,1,48,1
debugfs,1.42.13,1,1,1
debugfs,1.42.8,1,4,1
freeradius,2.2.6,1,1,16
net-snmp,5.7.2,1,80,10
net-snmp,5.1.2,1,3,23
net-snmp,5.5,1,2,13
net-snmp,5.0.8,1,1,26
net-snmp,5.7.3,2,116,7
net-snmp,5.8,1,20,4
dbus,1.8.10,1,8,3
dbus,1.12.2,1,1,3
luajit,2.0.4,1,1,3
openssh,7.0,1,3,27
tftp-hpa,0.48,1,9,1
gnutls,2.12.23,1,2,36
picocom,1.7,1,5,1
procps,3.3.11,1,32,1
bash,4.4.12,1,1,1
